Code_commune,Libelle_de_la_commune,Inscrits_22,Abstentions_22,Exprimes_22,Votes_Extreme_Gauche,Votes_Gauche,Votes_Centre,Votes_Droite,Votes_Extreme_Droite,Top_Extreme_Gauche,Top_Gauche,Top_Centre,Top_Droite,Top_Extreme_Droite,Voix_ART_22,Voix_ROU_22,Voix_MAC_22,Voix_LAS_22,Voix_PEN_22,Voix_ZEM_22,Voix_MEL_22,Voix_HID_22,Voix_JAD_22,Voix_PEC_22,Voix_POU_22,Voix_DUP_22
33001.0,Abzac,1535,386,1124,20,261,241,88,514,0,0,0,0,1,10,35,241,64,421,73,177,15,34,24,10,20
33001.0,Abzac,1535,386,1124,20,261,241,88,514,0,0,0,0,1,10,35,241,64,421,73,177,15,34,24,10,20
33002.0,Aillas,599,126,460,10,123,121,68,138,0,0,0,0,1,2,14,121,33,103,27,88,8,13,35,8,8
33003.0,Ambarès-et-Lagrave,10882,2803,7910,128,2490,1837,521,2934,0,0,0,0,1,34,213,1837,304,2288,486,1826,198,253,217,94,160
33004.0,Ambès,2189,571,1582,25,515,316,86,640,0,0,0,0,1,5,64,316,61,533,75,380,39,32,25,20,32
33005.0,Andernos-les-Bains,11549,2259,9106,77,2204,3243,1011,2571,0,0,1,0,0,26,186,3243,447,1620,795,1358,164,496,564,51,156
33006.0,Anglade,621,131,476,8,100,77,46,245,0,0,0,0,1,3,17,77,27,201,33,62,12,9,19,5,11
33007.0,Arbanats,977,160,802,13,189,248,79,273,0,0,0,0,1,5,15,248,41,201,56,121,22,31,38,8,16
33009.0,Arcachon,10961,2596,8238,52,1248,3270,1213,2455,0,0,1,0,0,16,98,3270,264,1278,1032,735,103,312,949,36,145
33010.0,Arcins,383,61,316,5,74,61,14,162,0,0,0,0,1,0,4,61,7,134,17,58,4,8,7,5,11
33012.0,Arsac,3099,575,2466,46,647,776,210,787,0,0,0,0,1,14,45,776,132,596,142,459,37,106,78,32,49
33013.0,Artigues-près-Bordeaux,5805,1045,4679,56,1539,1384,356,1344,0,1,0,0,0,13,116,1384,167,970,291,1089,102,232,189,43,83
33015.0,Arveyres,1638,334,1272,28,330,343,120,451,0,0,0,0,1,8,28,343,51,306,123,214,26,62,69,20,22
33011.0,Arès,5676,1252,4349,58,1018,1378,450,1445,0,0,0,0,1,18,97,1378,247,958,380,666,65,190,203,40,107
33016.0,Asques,342,53,281,6,107,73,25,70,0,1,0,0,0,3,6,73,19,48,15,84,4,13,6,3,7
33016.0,Asques,342,53,281,6,107,73,25,70,0,1,0,0,0,3,6,73,19,48,15,84,4,13,6,3,7
33017.0,Aubiac,277,37,238,3,73,35,42,85,0,0,0,0,1,0,12,35,36,72,11,48,5,8,6,3,2
33017.0,Aubiac,277,37,238,3,73,35,42,85,0,0,0,0,1,0,12,35,36,72,11,48,5,8,6,3,2
33019.0,Audenge,7008,1408,5479,77,1508,1460,460,1974,0,0,0,0,1,22,155,1460,278,1464,380,1034,102,217,182,55,130
33020.0,Auriolles,112,18,91,1,26,15,7,42,0,0,0,0,1,0,4,15,4,38,3,19,3,0,3,1,1
33021.0,Auros,801,149,635,6,150,178,78,223,0,0,0,0,1,3,6,178,48,189,27,100,13,31,30,3,7
33022.0,Avensan,2184,463,1689,24,492,389,123,661,0,0,0,0,1,4,51,389,75,525,96,345,19,77,48,20,40
33023.0,Ayguemorte-les-Graves,1017,159,842,10,269,232,67,264,0,1,0,0,0,3,30,232,48,184,65,174,16,49,19,7,15
33024.0,Bagas,211,54,153,4,27,43,16,63,0,0,0,0,1,2,3,43,11,50,12,20,1,3,5,2,1
33025.0,Baigneaux,329,45,279,5,63,48,34,129,0,0,0,0,1,0,3,48,21,107,16,50,5,5,13,5,6
33025.0,Baigneaux,329,45,279,5,63,48,34,129,0,0,0,0,1,0,3,48,21,107,16,50,5,5,13,5,6
33026.0,Balizac,395,51,335,3,89,63,35,145,0,0,0,0,1,0,4,63,25,118,18,73,7,5,10,3,9
33027.0,Barie,201,22,176,4,87,33,10,42,0,1,0,0,0,1,9,33,8,28,12,56,7,15,2,3,2
33028.0,Baron,926,167,742,18,232,176,71,245,0,0,0,0,1,3,19,176,45,188,40,172,10,31,26,15,17
33028.0,Baron,926,167,742,18,232,176,71,245,0,0,0,0,1,3,19,176,45,188,40,172,10,31,26,15,17
33028.0,Baron,926,167,742,18,232,176,71,245,0,0,0,0,1,3,19,176,45,188,40,172,10,31,26,15,17
33028.0,Baron,926,167,742,18,232,176,71,245,0,0,0,0,1,3,19,176,45,188,40,172,10,31,26,15,17
33030.0,Barsac,1523,298,1196,19,349,312,130,386,0,0,0,0,1,8,38,312,86,292,75,252,20,39,44,11,19
33030.0,Barsac,1523,298,1196,19,349,312,130,386,0,0,0,0,1,8,38,312,86,292,75,252,20,39,44,11,19
33031.0,Bassanne,105,17,85,1,33,18,6,27,0,1,0,0,0,1,4,18,4,22,3,20,4,5,2,0,2
33032.0,Bassens,5175,1196,3876,53,1501,835,221,1266,0,1,0,0,0,16,160,835,144,972,216,1093,105,143,77,37,78
33032.0,Bassens,5175,1196,3876,53,1501,835,221,1266,0,1,0,0,0,16,160,835,144,972,216,1093,105,143,77,37,78
33033.0,Baurech,683,138,531,4,179,161,35,152,0,1,0,0,0,1,14,161,17,118,23,129,11,25,18,3,11
33034.0,Bayas,384,96,281,7,51,71,20,132,0,0,0,0,1,2,5,71,7,103,21,39,3,4,13,5,8
33035.0,Bayon-sur-Gironde,549,85,455,8,106,111,37,193,0,0,0,0,1,2,6,111,22,153,27,81,4,15,15,6,13
33036.0,Bazas,3614,752,2798,42,786,806,294,870,0,0,0,0,1,9,66,806,185,634,186,551,70,99,109,33,50
33037.0,Beautiran,1910,363,1508,19,468,416,127,478,0,0,0,0,1,9,44,416,81,361,90,308,36,80,46,10,27
33042.0,Belin-Béliet,4331,868,3387,64,832,770,326,1395,0,0,0,0,1,20,83,770,200,1061,231,567,39,143,126,44,103
33043.0,Bellebat,208,36,170,2,38,30,15,85,0,0,0,0,1,2,5,30,8,72,12,32,0,1,7,0,1
33044.0,Bellefond,203,48,148,0,38,29,22,59,0,0,0,0,1,0,2,29,12,36,21,25,3,8,10,0,2
33044.0,Bellefond,203,48,148,0,38,29,22,59,0,0,0,0,1,0,2,29,12,36,21,25,3,8,10,0,2
33045.0,Belvès-de-Castillon,262,45,213,3,41,44,31,94,0,0,0,0,1,2,4,44,20,71,15,28,4,5,11,1,8
33046.0,Bernos-Beaulac,924,170,738,14,197,167,78,282,0,0,0,0,1,7,24,167,54,241,26,144,15,14,24,7,15
33047.0,Berson,1484,297,1163,25,299,275,98,466,0,0,0,0,1,11,44,275,49,383,56,199,26,30,49,14,27
33048.0,Berthez,211,36,169,2,43,48,20,56,0,0,0,0,1,2,3,48,16,51,4,32,3,5,4,0,1
33049.0,Beychac-et-Caillau,1854,340,1480,19,393,406,131,531,0,0,0,0,1,3,43,406,79,401,90,262,34,54,52,16,40
33050.0,Bieujac,461,89,361,9,115,82,46,109,0,1,0,0,0,0,8,82,34,83,19,86,9,12,12,9,7
33051.0,Biganos,8650,2008,6488,95,1677,1572,566,2578,0,0,0,0,1,28,209,1572,356,2017,411,1105,128,235,210,67,150
33053.0,Birac,187,23,162,2,36,36,27,61,0,0,0,0,1,0,3,36,22,48,8,31,0,2,5,2,5
33053.0,Birac,187,23,162,2,36,36,27,61,0,0,0,0,1,0,3,36,22,48,8,31,0,2,5,2,5
33054.0,Blaignac,224,28,191,3,39,48,31,70,0,0,0,0,1,2,9,48,23,61,5,21,7,2,8,1,4
33055.0,Blaignan-Prignac,349,66,278,6,48,63,20,141,0,0,0,0,1,2,5,63,14,100,34,30,1,12,6,4,7
33056.0,Blanquefort,11768,2283,9308,187,2987,2905,671,2558,0,1,0,0,0,44,258,2905,340,1875,520,1998,223,508,331,143,163
33056.0,Blanquefort,11768,2283,9308,187,2987,2905,671,2558,0,1,0,0,0,44,258,2905,340,1875,520,1998,223,508,331,143,163
33057.0,Blasimon,698,131,550,5,128,108,56,253,0,0,0,0,1,2,18,108,34,200,38,89,7,14,22,3,15
33058.0,Blaye,3415,1053,2301,48,632,554,172,895,0,0,0,0,1,17,81,554,99,685,154,435,36,80,73,31,56
33059.0,Blésignac,249,38,210,1,54,57,12,86,0,0,0,0,1,0,2,57,8,66,15,40,7,5,4,1,5
33060.0,Bommes,367,80,285,4,60,72,40,109,0,0,0,0,1,0,11,72,31,74,29,36,2,11,9,4,6
33061.0,Bonnetan,787,123,650,8,176,199,61,206,0,0,0,0,1,2,15,199,36,119,65,119,7,35,25,6,22
33062.0,Bonzac,660,139,498,10,130,131,36,191,0,0,0,0,1,0,10,131,23,151,32,89,8,23,13,10,8
33063.0,Bordeaux,161852,38026,121864,1449,50185,40832,9216,20182,0,1,0,0,0,315,2037,40832,2753,10385,8460,35412,2781,9955,6463,1134,1337
33064.0,Bossugan,47,7,40,2,7,12,3,16,0,0,0,0,1,0,0,12,3,9,5,7,0,0,0,2,2
33065.0,Bouliac,2787,436,2302,11,569,881,212,629,0,0,1,0,0,3,44,881,67,394,204,357,52,116,145,8,31
33066.0,Bourdelles,81,15,65,0,20,14,10,21,0,0,0,0,1,0,1,14,6,17,3,14,2,3,4,0,1
33067.0,Bourg,1611,421,1159,22,360,226,112,439,0,0,0,0,1,8,31,226,65,333,78,260,23,46,47,14,28
33067.0,Bourg,1611,421,1159,22,360,226,112,439,0,0,0,0,1,8,31,226,65,333,78,260,23,46,47,14,28
33068.0,Bourideys,78,10,68,1,11,16,17,23,0,0,0,0,1,0,0,16,5,17,5,8,0,3,12,1,1
33070.0,Brach,562,91,458,8,122,117,26,185,0,0,0,0,1,2,19,117,16,143,31,76,13,14,10,6,11
33071.0,Branne,873,182,675,13,163,179,50,270,0,0,0,0,1,5,12,179,26,209,46,118,6,27,24,8,15
33071.0,Branne,873,182,675,13,163,179,50,270,0,0,0,0,1,5,12,179,26,209,46,118,6,27,24,8,15
33072.0,Brannens,168,28,137,0,40,23,27,47,0,0,0,0,1,0,7,23,21,43,2,19,7,7,6,0,2
33073.0,Braud-et-Saint-Louis,1242,330,892,10,159,147,75,501,0,0,0,0,1,3,24,147,46,411,71,102,14,19,29,7,19
33074.0,Brouqueyran,183,22,158,1,35,32,30,60,0,0,0,0,1,0,3,32,20,46,13,24,8,0,10,1,1
33075.0,Bruges,13334,2658,10481,143,3257,3658,802,2621,0,0,1,0,0,34,217,3658,347,1753,685,2092,265,683,455,109,183
33076.0,Budos,605,98,494,6,150,113,45,180,0,0,0,0,1,2,12,113,30,142,26,111,7,20,15,4,12
33039.0,Bègles,20076,4985,14834,260,7335,3594,844,2801,0,1,0,0,0,72,621,3594,488,2019,626,5156,398,1160,356,188,156
